TEMP	CSUSC
29.7	199.98
35.2	203.28
42.5	205.15
49.6	208.7
56.3	210.65
61.7	211.72
67.1	214.18
71.9	215.74
76.7	217.44
81.1	217.71
85.4	219.3
89.6	219.15
93.8	220.34
98.2	221.39
102.8	222.17
106.9	222.93
111.5	224.23
115.6	224.82
120.2	225.43
124.8	226.23
129.3	226.66
134.1	227.67
138.6	228.57
143.3	228.26
148	228.9
152.8	229.8
157.6	230.43
162.4	230.34
167.1	231.28
172.1	230.95
177	231.99
181.9	231.54
186.7	232.99
191.9	232.46
196.9	232.23
201.7	233.07
206.8	233
211.7	234.04
216.5	233.94
221.3	234.78
226.7	234.52
231.6	235.14
236.4	234.73
241.7	235.24
246.3	235.43
251.2	235.55
256	235.2
260.9	235.13
266	234.93
271	234.52
275.7	233.99
280.6	234.27
285.4	233.29
290.1	232.56
295	232.79
300.1	232.67
304.7	231.82
309.5	231.37
314.4	231.82
319.3	229.56
323.9	229.61
328.7	229.66
333.6	228.73
338.4	229.34
343.2	228.36
347.8	227.91
352.6	227.67
357.7	226.91
362.1	225.7
366.7	225.55
371.6	224.52
376.2	223.91
380.9	223.82
385.7	222.51
390.3	220.76
395.1	220.68
399.6	219.81
404.5	218.46
409.3	217.7
414.2	215.51
419	213.65
424.2	211.98
429.2	209.14
434.5	205.74
439.2	202.08
444.2	199
449.2	194.89
454.1	191.25
459	186.1
463.6	182.08
468.2	176.72
473.1	172.54
477.9	167.11
482.6	160.89
487.1	155.37
492.1	148.41
496.9	142.1
501.4	135.93
506.3	129.24
511.2	121.67
516	114.53
521	107.4
525.7	100.32
530.5	92.87
535.2	85.37
540	79.81
544.8	73.43
549.7	67.01
554.6	61.22
559.7	53.89
564.6	47.08
569.2	39.31
574	31.29
578.9	23.38
583.7	17.25
588.5	10.77
593.6	5.64
598.3	2.65
603.3	0.22
608.4	-0.311
613.1	-1.426
618.1	-2.581
622.8	-1.707
627.1	-2.491
632	-2.571
637.2	-3.214
642.1	-3.414
647	-2.852
651.9	-2.862
656.5	-2.993
661.1	-3.445
665.4	-2.239
670.2	-4.338
674.3	-3.234
679.1	-3.334
683	-3.073
685.4	-3.806
686.7	-2.812
687.8	-3.937
688.1	-4.178
	
	
	
	
	
	
	
	
	
	
