TEMPC	CSUSCC
688.5	-2.601
687.3	-3.194
685.2	-3.736
682.4	-3.234
679.5	-3.073
675.9	-3.264
672.7	-4.127
669.2	-3.204
665.6	-1.767
662.1	-3.083
657.9	-3.766
654.3	-2.601
650.8	-2.772
647	-3.384
643.3	-3.314
639.9	-3.083
636.2	-3.023
632.6	-2.701
629	-3.635
625.4	-2.209
621.6	-2.742
617.5	-2.501
613.8	-1.868
609.7	-0.291
606.1	-1.095
602	0.63
598.2	2.4
594.4	6.18
590.2	8.97
586	14
582	19.01
578	22.66
573.7	27.9
569.5	33.68
565.2	39.52
561.2	45.1
556.9	49.08
552.5	53.18
548.4	57.61
543.9	60.75
539.5	63.89
535.1	66.56
530.5	69.21
526.1	72.56
521.4	76.5
517.2	79.36
512.7	82.08
508	85.4
503.6	88.57
498.8	91.55
494.2	95.03
489.5	98.78
484.9	102.42
480.4	105.91
475.5	108.72
471	113.6
466.3	116.19
461.5	120.59
456.5	125.92
451.6	129.16
446.7	132.1
441.9	136.91
437	139.91
432	143.57
427.2	147.61
422	151.22
417.4	155.35
412.3	159.58
407	162.84
401.9	166.57
397	170.91
391.9	174.49
387	177.43
381.8	181.08
376.5	184.6
371.4	188.66
366.3	192.21
361.1	195.22
355.8	199.26
350.6	203.1
345.4	206.51
340	210.07
334.8	212.71
329.7	214.03
324.3	215.84
319	216.73
313.9	216.9
308.4	218.87
303.3	219.89
297.8	220.68
293.1	221.35
288.3	222
283.1	222.63
277.7	223.33
272.7	224.21
267.7	223.85
263	224.66
257.7	224.51
252.7	225.76
247.7	225.37
242.5	225.76
237.5	225.94
232	226.14
227.1	225.36
222.1	226.2
216.7	225.67
211.7	225.62
206.8	225.54
201.4	224.95
196.5	224.55
191.3	224.4
186.5	223.81
181.4	223.98
176.7	222.16
171.6	222.24
166.7	221.14
162	220.07
157.1	220.51
152.4	218.85
148	218.73
143.4	217.05
138.9	215.31
134.2	215.19
129.8	214.19
125.4	213.62
120.9	211.49
116.5	210.65
112.2	210.19
107.9	208.83
103.7	207.54
99.5	206.88
95.5	205.12
91.6	205.22
87.8	202.91
84	203.16
80.2	201.98
76.6	199.55
73.1	199.84
69.7	198.05
66.5	196.95
63.4	196.59
60.2	194.91
57.3	194.29
54.7	191.66
52.1	193.08
49.5	192.26
46.9	190.23
44.7	189.16
42.2	189.86
39.8	188.46
