TEMP	CSUSC
694.6	0.8
693.6	0.8
691.8	-0.404
689.3	1.1
686.4	0.4
683.2	-0.101
680.1	0.4
676.7	0.6
673.2	0.3
669.7	0.4
666	0
662.7	0.4
658.9	0.6
655.4	0.2
651.4	0.9
647.8	0.7
644.1	0
640.2	0.5
636.5	0.8
632.9	-0.202
629.3	0.5
625.7	0.4
621.6	0.9
617.8	1.1
613.8	0.8
609.8	1.7
605.8	1.9
601.9	2.1
597.8	1.9
594	3
589.8	2.6
585.4	2.1
581.1	2.5
577.1	2.6
573.1	2.7
568.6	4.3
564.6	2.7
560	3.4
555.7	4
551.3	4.4
547.1	4.8
542.4	4.4
537.8	6.2
533.3	6.1
529	6
524.3	6.7
519.6	6.8
514.9	7.4
510.4	7.8
505.7	8.2
500.9	8.4
496.1	9.4
491.3	9.5
486.5	10.1
481.6	10.1
476.7	10.5
471.8	10.8
467	10.9
462.3	12.1
457.1	12.8
452	12.7
447.2	13.5
442.2	13.7
437.1	15.1
432	15.4
427	14.6
421.9	15.7
416.6	16.5
411.7	16.4
406.4	17.5
401.5	18.6
396.4	19.2
391.3	19.9
386	20.1
380.9	20
375.7	21.6
370.4	21.8
365.1	22.2
359.9	23.2
354.5	24.7
349.4	25.3
343.9	26
338.5	26.8
333.4	28.7
328.3	29.3
322.8	30.9
317.6	30.8
312.2	32.6
306.8	33.4
301.8	34.4
296.3	37
291.1	37.8
286.1	39
280.5	39.9
275.2	42.5
269.9	44.4
264.6	45.2
259.1	48.3
253.3	51.6
247.9	52.8
242.2	55.3
236.7	57.2
231.3	59.2
226	62.3
220.8	63.5
215.3	65.6
210.4	67
205.3	68.2
200.2	70.9
195.3	72.1
190.3	74.3
185.1	74.5
180.1	76.2
175.1	77.4
170.2	77.8
165.4	79.6
160.7	79.1
155.7	80.9
151.2	81.8
146.2	82.4
141.5	83
136.9	83.2
132.2	83.8
127.7	84.2
123.2	85.4
118.5	85.5
114.3	86.5
109.8	86.7
105.5	87.7
101.3	87.4
97.1	88.5
93.2	87.5
89.1	88
85.4	88.9
81.6	89.1
78.1	88.4
74.5	89
71	89.6
67.7	89.2
64.6	89
61.2	89.4
58.1	89.2
55.2	90.1
52.5	89.5
50	90.7
47.5	89.7
45.1	90.5
42.5	90.5
40.3	89.1
